old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
0,0,0,0,0.125,0.5,0.125,0.25,0,20,19,17,-71,0,1,0,0
0,0,0,0,0.285714286,0.142857143,0.571428571,0,0,20,19,17,1000,0,0,1,0
0,0,1,0,0.285714286,0.142857143,0.285714286,0,0.285714286,20,19,37,1000,0,0,1,0
0,0,1,0,0.285714286,0.142857143,0.142857143,0,0.428571429,20,19,29,1000,0,0,1,0
0,0,1,0,0.333333333,0.166666667,0,0,0.5,20,19,1,1000,0,0,1,0
0,0,1,0,0.4,0.2,0,0,0.4,20,19,1,1000,0,0,0,0
0,0,0,0,0.5,0.25,0,0,0.25,20,19,1,1000,0,0,0,0
0,0,0,0,0.666666667,0.333333333,0,0,0,20,19,1,1000,1,0,0,0
1,0,0,0,0,0.333333333,0,0,0.666666667,4,19,1,1000,1,0,0,0
1,0,0,0,0,0.5,0,0,0.5,4,19,1,1000,1,0,0,0
1,0,0,0,0,0.333333333,0.333333333,0,0.333333333,4,19,309,1000,0,0,0,0
0,0,0,0,0,0.5,0.5,0,0,4,19,245,1000,0,1,0,0
0,1,0,0,0,0.25,0.25,0.25,0.25,4,167,149,-238,0,1,0,0
0,1,0,0,0,0.25,0.25,0.25,0.25,4,167,149,-238,0,0,1,0
0,0,1,0,0,0.142857143,0.142857143,0.571428571,0.142857143,4,19,257,-230,0,0,1,0
0,0,0,0,0.285714286,0.571428571,0.142857143,0,0,20,19,17,1000,0,1,0,0
0,1,0,0,0.285714286,0.285714286,0.142857143,0,0.285714286,20,11,17,1000,0,1,0,0
0,1,0,0,0.25,0,0.125,0.25,0.375,20,3,17,-236,0,1,0,0
0,1,0,0,0.222222222,0,0.111111111,0.444444444,0.222222222,20,3,17,-160,0,1,0,0
0,1,0,0,0.222222222,0,0.111111111,0.555555556,0.111111111,20,3,17,-88,0,0,0,0
1,0,0,0,0.125,0,0.125,0.625,0.125,52,3,17,-72,1,0,0,0
1,0,0,0,0,0,0.142857143,0.714285714,0.142857143,4,3,17,-72,1,0,0,0
1,0,0,0,0,0,0.166666667,0.833333333,0,4,3,17,-72,1,0,0,0
1,0,0,0,0,0,0.166666667,0.833333333,0,4,3,17,-72,0,0,0,1
0,0,0,1,0,0,0.25,0.75,0,4,3,17,-63,0,0,0,1
0,0,0,1,0,0,0.666666667,0.333333333,0,4,3,17,-54,0,0,0,1
0,0,0,1,0,0.333333333,0.666666667,0,0,4,219,17,-54,0,0,0,0
0,0,0,0,0,0.333333333,0.666666667,0,0,4,159,17,-54,0,0,0,0
0,0,0,0,0,0.5,0.5,0,0,4,103,17,-54,0,0,1,0
0,0,1,0,0,0.4,0.2,0,0.4,4,19,5,-54,0,0,1,0
0,0,1,0,0,0.5,0,0,0.5,4,19,1,-54,0,0,1,0
0,0,1,0,0,0.8,0,0,0.2,4,19,1,-54,0,0,1,0
0,0,1,0,0,0.666666667,0,0.166666667,0.166666667,4,19,1,-224,0,1,1,0
0,0,1,0,0,0.666666667,0,0.166666667,0.166666667,4,19,1,-224,0,1,0,0
0,1,0,0,0,0.428571429,0,0.142857143,0.428571429,4,43,1,-132,0,1,0,0
0,1,0,0,0,0.2,0,0.4,0.4,4,59,1,-68,0,1,0,0
0,1,0,0,0,0.166666667,0,0.5,0.333333333,4,211,1,-68,0,1,0,0
0,1,0,0,0,0.333333333,0,0.5,0.166666667,4,135,1,-68,0,0,0,1
0,0,0,1,0,0.5,0,0.25,0.25,4,55,1,-83,0,0,0,1
0,0,0,1,0,0.666666667,0,0,0.333333333,4,19,1,-55,0,0,0,1
0,0,0,1,0,0.5,0,0,0.5,4,19,1,-55,0,0,0,1
0,0,0,1,0,0.8,0,0,0.2,4,19,1,-55,0,0,0,0
0,0,0,1,0,0.8,0,0,0.2,4,19,1,-55,0,0,0,0
0,0,0,0,0,0.6,0,0.2,0.2,4,27,1,-217,0,1,0,0
0,1,0,0,0,0.25,0.125,0.375,0.25,4,7,245,-125,0,1,0,0
0,1,0,0,0,0,0.166666667,0.5,0.333333333,4,3,153,-69,0,1,0,0
